"regionname","countyname","state","first_date","last_date","?column?","appreciation"
"60629","Cook County","IL",96438.62293094756,266944.26820462145,325,NULL
"60618","Cook County","IL",258143.634766892,752218.559574137,325,NULL
"60639","Cook County","IL",99483.488846489,330146.24328344234,325,NULL
"60647","Cook County","IL",221020.62778145482,805475.0694851052,325,NULL
"60804","Cook County","IL",96844.84076327321,270501.2985429983,325,NULL
"60632","Cook County","IL",106405.03023308198,280176.153813068,325,NULL
"60617","Cook County","IL",64814.70961563292,175183.4018716259,325,NULL
"60608","Cook County","IL",136965.32394996172,397789.87579465215,325,NULL
"60625","Cook County","IL",213175.37675887978,657654.2501286604,325,NULL
"60623","Cook County","IL",91603.04050689502,218151.6171085985,325,NULL
"60634","Cook County","IL",151504.31023599033,386115.48600219283,325,NULL
"60657","Cook County","IL",546768.3758025103,1163820.1301228849,325,NULL
"60614","Cook County","IL",700980.7508850313,1380515.7098497394,325,NULL
"60620","Cook County","IL",65075.18689221926,180411.58167204572,325,NULL
"60641","Cook County","IL",171267.2355447235,439969.30137627857,325,NULL
"60640","Cook County","IL",311987.9113047872,922909.5307078342,325,NULL
"60628","Cook County","IL",59716.177293513545,149638.78520286514,325,NULL
"60609","Cook County","IL",97590.7018093695,246468.89394529993,325,NULL
"60402","Cook County","IL",125253.99118444567,313885.8417158104,325,NULL
"60651","Cook County","IL",80953.06119715773,281029.5901745529,325,NULL
"60619","Cook County","IL",66971.62929369838,172434.3869534109,325,NULL
"60638","Cook County","IL",131679.83015720453,323403.93188656477,325,NULL
"60453","Cook County","IL",147820.53424788918,322940.9478003806,325,NULL
"60016","Cook County","IL",171125.80450472352,406412.2464985184,325,NULL
"60056","Cook County","IL",225109.70161452834,482256.07667252637,325,NULL
"60630","Cook County","IL",175594.77168539324,440911.41138954624,325,NULL
"60622","Cook County","IL",361063.2667041239,1006491.9913223818,325,NULL
"60411","Cook County","IL",74560.87630966493,175298.122317643,325,NULL
"60004","Cook County","IL",249769.45287164103,550701.4397238827,325,NULL
"60120","Cook County","IL",115226.40995177643,305118.0127763816,325,NULL
"60626","Cook County","IL",132265.01886815828,447549.6546829738,325,NULL
"60613","Cook County","IL",471044.5120993909,1186340.4555556206,325,NULL
"60649","Cook County","IL",92339.83969797456,186267.450745796,325,NULL
"60616","Cook County","IL",224772.393036678,510732.1235931332,325,NULL
"60643","Cook County","IL",132263.35627255068,234787.73969948807,325,NULL
"60645","Cook County","IL",172349.65425608133,502772.1429739169,325,NULL
"60644","Cook County","IL",72092.96145796568,227107.58130021647,325,NULL
"60637","Cook County","IL",187998.29122584028,254629.66425998334,325,NULL
"60659","Cook County","IL",184161.33943125186,507693.11278955365,325,NULL
"60067","Cook County","IL",279781.8779527705,546220.4674337546,325,NULL
"60062","Cook County","IL",392449.54635866923,829864.2186583708,325,NULL
"60660","Cook County","IL",214481.91394039406,703908.8766184157,325,NULL
"60707","Cook County","IL",164868.194991969,376306.0547975139,325,NULL
"60652","Cook County","IL",105735.92860836665,271069.7494845186,325,NULL
"60610","Cook County","IL",417672.73292493453,858639.8733059521,325,NULL
"60193","Cook County","IL",201190.5784454018,435605.2894570127,325,NULL
"60615","Cook County","IL",241488.0494329293,565050.1368661813,325,NULL
"60025","Cook County","IL",369178.1929658384,752309.6610496148,325,NULL
"60462","Cook County","IL",205303.97194155614,416076.2741679044,325,NULL
"60107","Cook County","IL",138964.2494848889,333880.58675851405,325,NULL
"60068","Cook County","IL",336593.2672781702,633760.4853281846,325,NULL
"60477","Cook County","IL",175249.48104232104,336003.35378094856,325,NULL
"60090","Cook County","IL",168609.15580345187,358427.7291885346,325,NULL
"60201","Cook County","IL",367907.22440107167,836107.52156367,325,NULL
"60624","Cook County","IL",101498.4385374073,228525.47719216274,325,NULL
"60074","Cook County","IL",200351.1866412013,421786.63822954014,325,NULL
"60202","Cook County","IL",261130.70406076458,558983.3301029915,325,NULL
"60409","Cook County","IL",76576.87857093399,160927.96251601947,325,NULL
"60611","Cook County","IL",496806.85437767406,675860.584768317,325,NULL
"60653","Cook County","IL",176863.24950194883,444442.6497492322,325,NULL
"60612","Cook County","IL",136860.20506216853,454038.7748337206,325,NULL
"60007","Cook County","IL",182952.09579631287,429830.8711589179,325,NULL
"60302","Cook County","IL",323271.50180170796,690351.8182693119,325,NULL
"60076","Cook County","IL",221484.64913845816,470815.2109450836,325,NULL
"60631","Cook County","IL",214813.9689072136,487989.9917753201,325,NULL
"60714","Cook County","IL",211417.16187276877,437359.4754770465,325,NULL
"60636","Cook County","IL",39561.43914653934,135653.17019597802,325,NULL
"60169","Cook County","IL",163767.7277210835,382494.8964910019,325,NULL
"60525","Cook County","IL",273038.5657992129,613921.0613844654,325,NULL
"60438","Cook County","IL",95928.31024554631,207333.28960978065,325,NULL
"60607","Cook County","IL",358478.4008201025,759141.7440968025,325,NULL
"60018","Cook County","IL",168858.06952554372,392709.2102648474,325,NULL
"60646","Cook County","IL",244134.61263964235,559349.2885869426,325,NULL
"60005","Cook County","IL",254120.52479710226,566388.2528323292,325,NULL
"60655","Cook County","IL",142217.34637894278,329299.39079088834,325,NULL
"60077","Cook County","IL",208678.23043620048,441648.0777620965,325,NULL
"60605","Cook County","IL",351820.24160830525,640926.5162534345,325,NULL
"60459","Cook County","IL",133908.690637848,310305.26519062533,325,NULL
"60621","Cook County","IL",48384.12338711732,124331.68133307049,325,NULL
"60091","Cook County","IL",521584.1117083651,1072591.9064167088,325,NULL
"60487","Cook County","IL",212313.33415093925,409303.9743593209,325,NULL
"60452","Cook County","IL",148166.9957745912,310891.49402808474,325,NULL
"60706","Cook County","IL",219897.2939422259,417372.3179581856,325,NULL
"60053","Cook County","IL",219590.0132683025,457043.6581169058,325,NULL
"60439","Cook County","IL",264390.3678859398,587271.2651695029,325,NULL
"60160","Cook County","IL",130065.88403704109,326458.3336483261,325,NULL
"60467","Cook County","IL",257646.44205394207,511752.23849608033,325,NULL
"60473","Cook County","IL",107749.57661915694,227227.31208659094,325,NULL
"60827","Cook County","IL",73438.1169734613,129922.38318688211,325,NULL
"60153","Cook County","IL",67445.67535764194,252997.31203441508,325,NULL
