"regionname","countyname","state","first_date","last_date","?column?","appreciation"
"98052","King County","WA",336966.12602637074,1577142.1714201246,325,NULL
"98105","King County","WA",408665.17876849417,1309931.4142109787,325,NULL
"98092","King County","WA",238986.70770010838,710110.1609093832,325,NULL
"98115","King County","WA",325734.10409600526,1137447.6915412885,325,NULL
"98023","King County","WA",198201.86998353523,638462.6294999695,325,NULL
"98103","King County","WA",296227.4317523074,1007971.8876306532,325,NULL
"98003","King County","WA",194480.08233808284,625169.9745040298,325,NULL
"98042","King County","WA",229489.63870716203,718260.2768669644,325,NULL
"98034","King County","WA",267974.95527929976,1211691.834343074,325,NULL
"98133","King County","WA",223603.68855003023,814556.954019959,325,NULL
"98118","King County","WA",218258.85272118662,767181.6958758729,325,NULL
"98125","King County","WA",246542.20483054777,880522.5987422668,325,NULL
"98031","King County","WA",215198.45316970957,693785.3637686569,325,NULL
"98058","King County","WA",229861.94882610824,773481.4134080666,325,NULL
"98122","King County","WA",323774.39725939085,957440.6058274467,325,NULL
"98032","King County","WA",179528.80617491988,603908.0613257214,325,NULL
"98059","King County","WA",285145.7857946434,1022778.0052679074,325,NULL
"98033","King County","WA",399815.9765423465,1923328.3795670886,325,NULL
"98004","King County","WA",659420.4932040261,3172830.685709232,325,NULL
"98006","King County","WA",385603.9910896937,1823777.1733049098,325,NULL
"98001","King County","WA",202446.0611554156,649336.0643468869,325,NULL
"98117","King County","WA",285688.06932613807,1025931.2810315224,325,NULL
"98030","King County","WA",213626.55304646137,676438.8343128245,325,NULL
"98056","King County","WA",261514.63056955065,938221.6979971472,325,NULL
"98155","King County","WA",233369.2844020735,882534.5073427487,325,NULL
"98198","King County","WA",197787.15433297458,635299.6536890529,325,NULL
"98168","King County","WA",175993.1317002943,603945.2596457716,325,NULL
"98002","King County","WA",168148.48443567715,526488.1578123715,325,NULL
"98038","King County","WA",249323.40143196826,816218.8730936901,325,NULL
"98109","King County","WA",390418.0642744562,1329108.0418448283,325,NULL
"98040","King County","WA",706886.3245015524,2468135.7231541164,325,NULL
"98029","King County","WA",346745.4748811517,1437126.3099968946,325,NULL
"98027","King County","WA",344922.19466167875,1350952.2816180151,325,NULL
"98074","King County","WA",384227.79975328856,1679784.0222086504,325,NULL
"98146","King County","WA",218899.98548176838,715353.0251985155,325,NULL
"98144","King County","WA",259880.8376957232,830577.421986637,325,NULL
"98007","King County","WA",300994.882051077,1415725.847070205,325,NULL
"98072","King County","WA",368284.736963133,1399473.758564606,325,NULL
"98011","King County","WA",291247.24669405376,1176746.967047109,325,NULL
"98188","King County","WA",185580.87359317587,636804.079430573,325,NULL
"98008","King County","WA",316840.81841370865,1514527.6151316855,325,NULL
"98107","King County","WA",283491.6163555821,935992.9157857747,325,NULL
"98106","King County","WA",189906.43271143935,687795.5717273005,325,NULL
"98178","King County","WA",199025.6103222906,679879.1176103136,325,NULL
"98116","King County","WA",350544.8472547943,1080557.986643391,325,NULL
"98075","King County","WA",470000.35730682075,1892648.306864486,325,NULL
"98108","King County","WA",192370.18508553135,708523.690673531,325,NULL
"98112","King County","WA",540621.722905913,1563603.8227357112,325,NULL
"98028","King County","WA",272369.0349811662,1121168.9689163666,325,NULL
"98119","King County","WA",372285.312186829,1302632.0979031145,325,NULL
"98055","King County","WA",213976.90536918925,734995.3643290964,325,NULL
"98053","King County","WA",406402.23238663346,1532491.38005569,325,NULL
"98126","King County","WA",238505.1537783286,805016.6800522533,325,NULL
"98199","King County","WA",413946.4169954897,1384616.5955462228,325,NULL
"98177","King County","WA",347945.1434413335,1191076.6739944853,325,NULL
"98022","King County","WA",221472.29579848234,691795.1566134938,325,NULL
"98102","King County","WA",440969.27558433404,1163783.570698335,325,NULL
"98166","King County","WA",249450.36337159027,878286.490136078,325,NULL
"98005","King County","WA",407154.8591946052,1931546.5850113363,325,NULL
"98136","King County","WA",317997.34655971226,1004175.5826838264,325,NULL
"98045","King County","WA",296644.34882420144,1050958.323378668,325,NULL
"98077","King County","WA",407405.46025568555,1536830.9099064365,325,NULL
"98057","King County","WA",192133.30645740815,636499.6101628845,325,NULL
"98065","King County","WA",323046.7293430345,1180917.975503113,325,NULL
"98019","King County","WA",277283.55253944226,987265.4715660383,325,NULL
"98070","King County","WA",276441.45188415964,929384.6326719703,325,NULL
"98148","King County","WA",208379.87618582757,648706.5208625187,325,NULL
"98014","King County","WA",308171.5399086786,1038513.7213958238,325,NULL
"98051","King County","WA",279078.4144203326,906880.9457919807,325,NULL
"98010","King County","WA",236516.04581456006,794558.300002023,325,NULL
"98024","King County","WA",365988.5104139804,1279664.23254713,325,NULL
"98047","King County","WA",160023.40072608806,561307.5425637268,325,NULL
"98039","King County","WA",1063151.775372244,4595494.265616852,325,NULL
"98288","King County","WA",NULL,464494.42636634293,325,NULL
"98050","King County","WA",NULL,1452712.472500418,325,NULL
"98224","King County","WA",NULL,498067.1159712393,325,NULL
