"regionname","countyname","state","first_date","last_date","?column?","appreciation"
"48180","Wayne County","MI",71710.71674526887,178638.56716857015,325,NULL
"48228","Wayne County","MI",36247.88891572903,69604.50633329291,325,NULL
"48126","Wayne County","MI",91385.94387519665,234091.11957579697,325,NULL
"48187","Wayne County","MI",192913.6320097974,412013.6420497492,325,NULL
"48185","Wayne County","MI",94596.40282504086,234797.88339734543,325,NULL
"48235","Wayne County","MI",31419.084650081935,93081.06033080298,325,NULL
"48188","Wayne County","MI",214330.21168392932,458724.90561644983,325,NULL
"48183","Wayne County","MI",116284.16297389711,265608.7227764188,325,NULL
"48111","Wayne County","MI",123686.07783490788,322166.81163104204,325,NULL
"48219","Wayne County","MI",NULL,90509.1073373485,325,NULL
"48212","Wayne County","MI",31927.935432778588,124751.66871282365,325,NULL
"48170","Wayne County","MI",221549.9007320576,515480.08306131006,325,NULL
"48224","Wayne County","MI",50483.201678537844,83155.47331274972,325,NULL
"48127","Wayne County","MI",110920.30443388653,266611.0597529117,325,NULL
"48221","Wayne County","MI",43270.86423950712,136205.61668102528,325,NULL
"48227","Wayne County","MI",28262.52586546217,68707.45215866307,325,NULL
"48146","Wayne County","MI",62349.16313922432,152956.3005744002,325,NULL
"48154","Wayne County","MI",165236.96003041233,341375.05438072333,325,NULL
"48239","Wayne County","MI",68139.21989593797,176762.84455891044,325,NULL
"48186","Wayne County","MI",77615.24010191967,201162.25731376107,325,NULL
"48124","Wayne County","MI",110025.01263862077,241929.44666158585,325,NULL
"48234","Wayne County","MI",NULL,54605.8502962284,325,NULL
"48174","Wayne County","MI",94274.02959798124,211678.8147469441,325,NULL
"48205","Wayne County","MI",18298.81895588478,52639.954632679546,325,NULL
"48236","Wayne County","MI",208535.02756595577,401739.17843031004,325,NULL
"48152","Wayne County","MI",178007.76563470124,342974.6035560392,325,NULL
"48195","Wayne County","MI",87565.78945004608,196537.00297419835,325,NULL
"48101","Wayne County","MI",90638.18323198006,210995.01461900747,325,NULL
"48209","Wayne County","MI",17155.860905479065,89753.20528954077,325,NULL
"48210","Wayne County","MI",17406.409554459413,70046.92481994849,325,NULL
"48135","Wayne County","MI",87196.01971950644,203183.4532587965,325,NULL
"48150","Wayne County","MI",132852.58620385872,281554.2727294127,325,NULL
"48141","Wayne County","MI",28460.152366160437,110246.48249461288,325,NULL
"48167","Wayne County","MI",296999.9615259538,586616.6259360113,325,NULL
"48223","Wayne County","MI",57460.83579014767,88918.26809194405,325,NULL
"48192","Wayne County","MI",101357.0669938469,188758.04243320867,325,NULL
"48238","Wayne County","MI",22554.46439544175,53615.24546888259,325,NULL
"48168","Wayne County","MI",388991.96134589374,758158.6851969265,325,NULL
"48203","Wayne County","MI",NULL,59324.30757157359,325,NULL
"48125","Wayne County","MI",69213.87517663633,163962.82098405485,325,NULL
"48204","Wayne County","MI",15720.968801445732,53297.11567263792,325,NULL
"48134","Wayne County","MI",127212.981777507,312947.1362429766,325,NULL
"48213","Wayne County","MI",18374.110074584445,46663.394706797175,325,NULL
"48214","Wayne County","MI",NULL,79694.71256789633,325,NULL
"48207","Wayne County","MI",NULL,93588.85952491673,325,NULL
"48184","Wayne County","MI",71279.4390318983,173467.60310017815,325,NULL
"48240","Wayne County","MI",60428.75532143515,155867.71158079925,325,NULL
"48230","Wayne County","MI",247005.07901408995,510161.2041907609,325,NULL
"48193","Wayne County","MI",114259.94125481891,257006.27285949464,325,NULL
"48201","Wayne County","MI",139939.06389469586,485999.9459768342,325,NULL
"48202","Wayne County","MI",84454.08319670917,174332.82832062364,325,NULL
"48206","Wayne County","MI",52883.73436200399,88597.72421898406,325,NULL
"48225","Wayne County","MI",79179.55860365277,158288.67142520545,325,NULL
"48173","Wayne County","MI",127889.00787913147,265478.98098355596,325,NULL
"48122","Wayne County","MI",74954.00249223059,139408.06573525505,325,NULL
"48128","Wayne County","MI",119306.35220577405,309274.24991962686,325,NULL
"48164","Wayne County","MI",158663.29339037777,349771.9343685194,325,NULL
"48215","Wayne County","MI",50415.5956578548,90837.78214953358,325,NULL
"48138","Wayne County","MI",191937.14100512248,426994.143011102,325,NULL
"48229","Wayne County","MI",NULL,81871.42325052508,325,NULL
"48120","Wayne County","MI",NULL,238380.69951766988,325,NULL
"48208","Wayne County","MI",NULL,107318.52771435014,325,NULL
"48218","Wayne County","MI",20114.18905084774,86509.56636190934,325,NULL
"48217","Wayne County","MI",NULL,59805.865945615726,325,NULL
"48211","Wayne County","MI",NULL,56719.33467503543,325,NULL
"48216","Wayne County","MI",NULL,178695.311360965,325,NULL
